"tp","tn","fp","fn","precision","recall","k_value"
1,86,0,11,1,0.08,0
1,86,0,11,1,0.08,0.01
2,86,0,10,1,0.17,0.02
3,86,0,9,1,0.25,0.03
4,86,0,8,1,0.33,0.04
4,85,1,8,0.8,0.33,0.05
6,85,1,6,0.86,0.5,0.06
6,85,1,6,0.86,0.5,0.07
8,85,1,4,0.89,0.67,0.08
8,85,1,4,0.89,0.67,0.09
9,85,1,3,0.9,0.75,0.1
9,84,2,3,0.82,0.75,0.11
9,83,3,3,0.75,0.75,0.12
10,83,3,2,0.77,0.83,0.13
10,82,4,2,0.71,0.83,0.14
10,81,5,2,0.67,0.83,0.15
10,79,7,2,0.59,0.83,0.16
10,79,7,2,0.59,0.83,0.17
10,78,8,2,0.56,0.83,0.18
10,77,9,2,0.53,0.83,0.19
10,76,10,2,0.5,0.83,0.2
11,72,14,1,0.44,0.92,0.25
11,67,19,1,0.37,0.92,0.3
11,62,24,1,0.31,0.92,0.35
11,58,28,1,0.28,0.92,0.4
11,53,33,1,0.25,0.92,0.45
11,48,38,1,0.22,0.92,0.5
11,43,43,1,0.2,0.92,0.55
11,38,48,1,0.19,0.92,0.6
11,33,53,1,0.17,0.92,0.65
11,28,58,1,0.16,0.92,0.7
11,24,62,1,0.15,0.92,0.75
11,19,67,1,0.14,0.92,0.8
11,14,72,1,0.13,0.92,0.85
11,9,77,1,0.13,0.92,0.9
11,4,82,1,0.12,0.92,0.95
12,0,86,0,0.12,1,1
